RCP26_ind,RCP26_land,RCP45_ind,RCP45_land,RCP60_ind,RCP60_land,RCP85_ind,RCP85_land
-3.4123128,0,3.41179956,0,5.50845828,0,22.2791200476,0
-3.4123128,0,3.396549,0,5.4786537,0,21.2900519442,0
-3.4123128,0,3.38129844,0,5.44884912,0,20.3009838408,0
-3.4123128,0,3.36604788,0,5.41904454,0,19.3119157374,0
-3.4123128,0,3.35079732,0,5.38923996,0,18.322847634,0
-3.4123128,0,3.33554676,0,5.35943538,0,17.3337795306,0
-3.4123128,0,3.3202962,0,5.3296308,0,16.3447114272,0
-3.4123128,0,3.30695196,0,5.30477532,0,15.3556433238,0
-3.4123128,0,3.29360772,0,5.27991984,0,14.3665752204,0
-3.4123128,0,3.28026348,0,5.25506436,0,13.377507117,0
-3.4123128,0,3.26691924,0,5.23020888,0,12.3884390136,0
-3.4123128,0,3.253575,0,5.2053534,0,11.3993709102,0
-3.4123128,0,3.24023076,0,5.18049792,0,10.4103028068,0
-3.4123128,0,3.22688652,0,5.15564244,0,9.4212347034,0
-3.4123128,0,3.21354228,0,5.13078696,0,8.4321666,0
-3.4123128,0,3.20019804,0,5.10593148,0,7.654608,0
-3.4123128,0,3.1868538,0,5.081076,0,7.4999028,0
-3.4123128,0,3.1751226,0,5.062276752,0,7.51544664,0
-3.4123128,0,3.1633914,0,5.043477504,0,7.53099048,0
-3.4123128,0,3.1516602,0,5.024678256,0,7.54653432,0
-3.4123128,0,3.139929,0,5.005879008,0,7.56207816,0
-3.4123128,0,3.1281978,0,4.98707976,0,7.577622,0
-3.4123128,0,3.1164666,0,4.968280512,0,7.61985432,0
-3.4123128,0,3.1047354,0,4.949481264,0,7.66208664,0
-3.4123128,0,3.0930042,0,4.930682016,0,7.70431896,0
-3.4123128,0,3.081273,0,4.911882768,0,7.74655128,0
-3.4123128,0,3.0695418,0,4.89308352,0,7.7887836,0
-3.4123128,0,3.0590937,0,4.874284272,0,7.7782500822,0
-3.4123128,0,3.0486456,0,4.855485024,0,7.7677161978,0
-3.4123128,0,3.0381975,0,4.836685776,0,7.75718268,0
-3.4123128,0,3.0277494,0,4.817886528,0,7.7466491622,0
-3.4123128,0,3.0173013,0,4.79908728,0,7.7361152778,0
-3.4123128,0,3.0068532,0,4.780288032,0,7.72558176,0
-3.4123128,0,2.9964051,0,4.761488784,0,7.7150482422,0
-3.4123128,0,2.985957,0,4.742689536,0,7.7045143578,0
-3.4123128,0,2.9755089,0,4.723890288,0,7.69398084,0
-3.4123128,0,2.9650608,0,4.70509104,0,7.6834473222,0
-3.4123128,0,2.95585914,0,4.686291792,0,7.6729134378,0
-3.4123128,0,2.94665748,0,4.667492544,0,7.66237992,0
-3.4123128,0,2.93745582,0,4.648693296,0,7.6518464022,0
-3.4123128,0,2.92825416,0,4.629894048,0,7.6413125178,0
-3.4123128,0,2.9190525,0,4.6110948,0,7.630779,0
-3.4123128,0,2.90985084,0,4.598014512,0,7.617962664,0
-3.4123128,0,2.90064918,0,4.584934224,0,7.605146328,0
-3.4123128,0,2.89144752,0,4.571853936,0,7.592329992,0
-3.4123128,0,2.88224586,0,4.558773648,0,7.579513656,0
-3.4123128,0,2.8730442,0,4.54569336,0,7.56669732,0
-3.4123128,0,2.86468572,0,4.532613072,0,7.553880984,0
-3.4123128,0,2.85632724,0,4.519532784,0,7.541064648,0
-3.4123128,0,2.84796876,0,4.506452496,0,7.528248312,0
-3.4123128,0,2.83961028,0,4.493372208,0,7.515431976,0
-3.4123128,0,2.8312518,0,4.48029192,0,7.50261564,0
-3.4123128,0,2.82289332,0,4.467211632,0,7.489799304,0
-3.4123128,0,2.81453484,0,4.454131344,0,7.476982968,0
-3.4123128,0,2.80617636,0,4.441051056,0,7.464166632,0
-3.4123128,0,2.79781788,0,4.427970768,0,7.451350296,0
-3.4123128,0,2.7894594,0,4.41489048,0,7.43853396,0
-3.4123128,0,2.78190744,0,4.401810192,0,7.425717624,0
-3.4123128,0,2.77435548,0,4.388729904,0,7.412901288,0
-3.4123128,0,2.76680352,0,4.375649616,0,7.400084952,0
-3.4123128,0,2.75925156,0,4.362569328,0,7.387268616,0
-3.4123128,0,2.7516996,0,4.34948904,0,7.37445228,0
-3.4123128,0,2.74414764,0,4.336408752,0,7.361635944,0
-3.4123128,0,2.73659568,0,4.323328464,0,7.348819608,0
-3.4123128,0,2.72904372,0,4.310248176,0,7.336003272,0
-3.4123128,0,2.72149176,0,4.297167888,0,7.323186936,0
-3.4123128,0,2.7139398,0,4.2840876,0,7.3103706,0
-3.4123128,0,2.708125524,0,4.274424024,0,7.302628008,0
-3.4123128,0,2.702311248,0,4.264760448,0,7.294885416,0
-3.4123128,0,2.696496972,0,4.255096872,0,7.287142824,0
-3.4123128,0,2.690682696,0,4.245433296,0,7.279400232,0
-3.4123128,0,2.68486842,0,4.23576972,0,7.27165764,0
-3.4123128,0,2.679054144,0,4.226106144,0,7.263915048,0
-3.4123128,0,2.673239868,0,4.216442568,0,7.256172456,0
-3.4123128,0,2.667425592,0,4.206778992,0,7.248429864,0
-3.4123128,0,2.661611316,0,4.197115416,0,7.240687272,0
-3.4123128,0,2.65579704,0,4.18745184,0,7.23294468,0
-3.4123128,0,2.649982764,0,4.177788264,0,7.225202088,0
-3.4123128,0,2.644168488,0,4.168124688,0,7.217459496,0
-3.4123128,0,2.638354212,0,4.158461112,0,7.209716904,0
-3.4123128,0,2.632539936,0,4.148797536,0,7.201974312,0
-3.4123128,0,2.62672566,0,4.13913396,0,7.19423172,0
-3.4123128,0,2.620911384,0,4.129470384,0,7.186489128,0
-3.4123128,0,2.615097108,0,4.119806808,0,7.178746536,0
-3.4123128,0,2.609282832,0,4.110143232,0,7.171003944,0
-3.4123128,0,2.603468556,0,4.100479656,0,7.163261352,0
-3.4123128,0,2.59765428,0,4.09081608,0,7.15551876,0
-3.4123128,0,2.591840004,0,4.081152504,0,7.147776168,0
-3.4123128,0,2.586025728,0,4.071488928,0,7.140033576,0
-3.4123128,0,2.580211452,0,4.061825352,0,7.132290984,0
-3.4123128,0,2.574397176,0,4.052161776,0,7.124548392,0
-3.4123128,0,2.5685829,0,4.0424982,0,7.1168058,0
-3.4123128,0,2.562768624,0,4.034916912,0,7.109063208,0
-3.4123128,0,2.556954348,0,4.027335624,0,7.101320616,0
-3.4123128,0,2.551140072,0,4.019754336,0,7.093578024,0
-3.4123128,0,2.545325796,0,4.012173048,0,7.085835432,0
-3.4123128,0,2.53951152,0,4.00459176,0,7.07809284,0
-3.4123128,0,2.533697244,0,3.997010472,0,7.070350248,0
-3.4123128,0,2.527882968,0,3.989429184,0,7.062607656,0
-3.4123128,0,2.522068692,0,3.981847896,0,7.054865064,0
-3.4123128,0,2.516254416,0,3.974266608,0,7.047122472,0
-3.4123128,0,2.51044014,0,3.96668532,0,7.03937988,0
-3.4123128,0,2.504625864,0,3.959104032,0,7.031637288,0
-3.4123128,0,2.498811588,0,3.951522744,0,7.023894696,0
-3.4123128,0,2.492997312,0,3.943941456,0,7.016152104,0
-3.4123128,0,2.487183036,0,3.936360168,0,7.008409512,0
-3.4123128,0,2.48136876,0,3.92877888,0,7.00066692,0
-3.4123128,0,2.475554484,0,3.921197592,0,6.992924328,0
-3.4123128,0,2.469740208,0,3.913616304,0,6.985181736,0
-3.4123128,0,2.463925932,0,3.906035016,0,6.977439144,0
-3.4123128,0,2.458111656,0,3.898453728,0,6.969696552,0
-3.4123128,0,2.45229738,0,3.89087244,0,6.96195396,0
-3.4123128,0,2.446483104,0,3.883291152,0,6.954211368,0
-3.4123128,0,2.440668828,0,3.875709864,0,6.946468776,0
-3.4123128,0,2.434854552,0,3.868128576,0,6.938726184,0
-3.4123128,0,2.429040276,0,3.860547288,0,6.930983592,0
-3.4123128,0,2.423226,0,3.852966,0,6.923241,0
-3.4123128,0,2.419142076,0,3.846704472,0,6.914054004,0
-3.4123128,0,2.415058152,0,3.840442944,0,6.904867008,0
-3.4123128,0,2.410974228,0,3.834181416,0,6.895680012,0
-3.4123128,0,2.406890304,0,3.827919888,0,6.886493016,0
-3.4123128,0,2.40280638,0,3.82165836,0,6.87730602,0
-3.4123128,0,2.398722456,0,3.815396832,0,6.868119024,0
-3.4123128,0,2.394638532,0,3.809135304,0,6.858932028,0
-3.4123128,0,2.390554608,0,3.802873776,0,6.849745032,0
-3.4123128,0,2.386470684,0,3.796612248,0,6.840558036,0
-3.4123128,0,2.38238676,0,3.79035072,0,6.83137104,0
-3.4123128,0,2.378302836,0,3.784089192,0,6.822184044,0
-3.4123128,0,2.374218912,0,3.777827664,0,6.812997048,0
-3.4123128,0,2.370134988,0,3.771566136,0,6.803810052,0
-3.4123128,0,2.366051064,0,3.765304608,0,6.794623056,0
-3.4123128,0,2.36196714,0,3.75904308,0,6.78543606,0
-3.4123128,0,2.357883216,0,3.752781552,0,6.776249064,0
-3.4123128,0,2.353799292,0,3.746520024,0,6.767062068,0
-3.4123128,0,2.349715368,0,3.740258496,0,6.757875072,0
-3.4123128,0,2.345631444,0,3.733996968,0,6.748688076,0
-3.4123128,0,2.34154752,0,3.72773544,0,6.73950108,0
-3.4123128,0,2.337463596,0,3.721473912,0,6.730314084,0
-3.4123128,0,2.333379672,0,3.715212384,0,6.721127088,0
-3.4123128,0,2.329295748,0,3.708950856,0,6.711940092,0
-3.4123128,0,2.325211824,0,3.702689328,0,6.702753096,0
-3.4123128,0,2.3211279,0,3.6964278,0,6.6935661,0
-3.4123128,0,2.317043976,0,3.690987456,0,6.684379104,0
-3.4123128,0,2.312960052,0,3.685547112,0,6.675192108,0
-3.4123128,0,2.308876128,0,3.680106768,0,6.666005112,0
